VBO id	transboundary name as in VBO	OMIA breed_id	xref	source for xref	OMIA breed_name	syn source	syn source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Transboundary name	Synonyms for transboundary name, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0001682	West African Dwarf (Sheep)	878	OMIA:878		Cameroon	https://omia.org		9940	Sheep	West African Dwarf		
VBO:0000139	Belgian Blue (Cattle)	347	OMIA:347		Central Belgian	https://omia.org		9913	Cattle	Belgian Blue		https://www.thecattlesite.com/breeds/beef/8/belgian-blue/
VBO:0000747	Chamois Coloured (Goat)	1149	OMIA:1149		Chamois Colored	https://omia.org		9925	Goat	Chamois Coloured	Chamois Colored	
VBO:0000177	Charolais (Cattle)	19	OMIA:19		Charolais	https://omia.org		9913	Cattle	Charolais		
VBO:0001120	Chester White (Pig)	321	OMIA:321		Chester White	https://omia.org		9823	Pig	Chester White		
VBO:0001686	Cheviot (Sheep)	191	OMIA:191		Cheviot	https://omia.org		9940	Sheep	Cheviot		
VBO:0000178	Chianina (Cattle)	211	OMIA:211		Chianina	https://omia.org		9913	Cattle	Chianina		
VBO:0000179	Chillingham (Cattle)	264	OMIA:264		Chillingham	https://omia.org		9913	Cattle	Chillingham		
VBO:0001619	Spanish Churro (Sheep)	889	OMIA:889		Churra	https://omia.org		9940	Sheep	Spanish Churro		
VBO:0001653	Tsigai (Sheep)	344	OMIA:344		Cigaja	https://omia.org		9940	Sheep	Tsigai		
VBO:0001373	Clun Forest (Sheep)	499	OMIA:499		Clun Forest	https://omia.org		9940	Sheep	Clun Forest		
VBO:0000934	Clydesdale (Horse)	136	OMIA:136		Clydesdale	https://omia.org		9796	Horse	Clydesdale		
VBO:0001378	Columbia (Sheep)	354	OMIA:354		Columbia	https://omia.org		9940	Sheep	Columbia		
VBO:0000471	Columbian Rock (Chicken)	507	OMIA:507		Columbian Rock	https://omia.org		9031	Chicken	Columbian Rock		
VBO:0000937	Connemara Pony (Horse)	908	OMIA:908		Connemara pony	https://omia.org		9796	Horse	Connemara Pony	Connemara pony	
VBO:0001380	Coopworth (Sheep)	148	OMIA:148		Coopworth	https://omia.org		9940	Sheep	Coopworth		
VBO:0000516	Cornish (Chicken)	272	OMIA:272		Cornish	https://omia.org		9031	Chicken	Cornish		
VBO:0001382	Corriedale (Sheep)	53	OMIA:53		Corriedale	https://omia.org		9940	Sheep	Corriedale		
VBO:0001385	Cotswold (Sheep)	681	OMIA:681		Cotswold	https://omia.org		9940	Sheep	Cotswold		
VBO:0000559	Legbar (Chicken)	897	OMIA:897		Cream Legbar	https://omia.org		9031	Chicken	Legbar		
VBO:0000750	Creole (Goat)	590	OMIA:590		Creole	https://omia.org		9925	Goat	Creole		
VBO:0000517	CrÃ¨vecoeur [Crèvecœur] (Chicken)	898	OMIA:898		Crevecoeur	https://omia.org		9031	Chicken	CrÃ¨vecoeur [Crèvecœur]		
VBO:0000108	Argentine Criollo (Cattle)	533	OMIA:533		Criolla	https://omia.org		9913	Cattle	Argentine Criollo		
VBO:0000108	Argentine Criollo (Cattle)	648	OMIA:648		Criollo	https://omia.org		9913	Cattle	Argentine Criollo		
VBO:0000943	Curly Horse (Horse)	976	OMIA:976		Curly	https://omia.org		9796	Horse	Curly Horse	Curly	
VBO:0001387	D'man (Sheep)	83	OMIA:83		D'man	https://omia.org		9940	Sheep	D'man		
VBO:0000186	Dairy Shorthorn (Cattle)	107	OMIA:107		Dairy Shorthorn	https://omia.org		9913	Cattle	Dairy Shorthorn		
VBO:0001389	Dala (Sheep)	189	OMIA:189		Dala	https://omia.org		9940	Sheep	Dala		
VBO:0000947	Dales (Horse)	1043	OMIA:1043		Dales Pony	https://omia.org		9796	Horse	Dales	Dales Pony	
VBO:0001390	Damara (Sheep)	938	OMIA:938		Damara	https://omia.org		9940	Sheep	Damara		
VBO:0000755	Damascus (Goat)	484	OMIA:484		Damascus	https://omia.org		9925	Goat	Damascus		
VBO:0000190	Danish Holstein (Cattle)	1022	OMIA:1022		Danish Holstein	https://omia.org		9913	Cattle	Danish Holstein		
VBO:0001124	Danish Landrace (Pig)	1145	OMIA:1145		Danish Landrace	https://omia.org		9823	Pig	Danish Landrace		
VBO:0000192	Devon (Cattle)	185	OMIA:185		Devon	https://omia.org		9913	Cattle	Devon		
