UBO id	Breed name	Country	breed label (breed name +country + parent)	Transboundary name =parents	Species =parents	parent labels	parent ID	Other name(s) =synonym							Language (for Breed name and Other name)	ISO3 Country code	Domestication status	Taxonomic classification	Description of origin	Geographical classification
UBO:0003888	Red Polled	Honduras	Red Polled-Honduras [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355									HND	domestic	breed	imported by Fabric Railroad Company	international
UBO:0003889	Red Poll	Kenya	Red Poll-Kenya [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355									KEN	domestic	breed	recently imported	international
UBO:0003890	Red Poll	Sri Lanka	Red Poll-Sri Lanka [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355								eng.	LKA	domestic	breed	recently imported; exotic	international
UBO:0003891	Red Poll	Mexico	Red Poll-Mexico [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355								eng.	MEX	domestic	breed		international
UBO:0003892	Redpoll	Papua New Guinea	Redpoll-Papua New Guinea [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355									PNG	domestic	breed	imported from Australia; exotic	international
UBO:0003893	Red Poll	Romania	Red Poll-Romania [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355								eng.	ROU	domestic	breed	recently imported; exotic	international
UBO:0003894	Red Poll	Suriname	Red Poll-Suriname [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355								eng.	SUR	domestic	breed	imported; exotic	international
UBO:0003895	Red Poll	Uruguay	Red Poll-Uruguay [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355								eng.	URY	domestic	breed	recently imported; exotic	international
UBO:0003896	Red Poll	United States of America	Red Poll-United States of America [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355								eng.	USA	domestic	breed		international
UBO:0003897	Red Poll	Samoa	Red Poll-Samoa [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355								eng.	WSM	domestic	breed	imported from Australia and New Zealand; exotic	international
UBO:0003898	Red Poll	South Africa	Red Poll-South Africa [Red Poll (Cattle)]	Red Poll	Cattle	Red Poll (Cattle)	UBO:0000355	Rooi Poenskop							eng.	ZAF	domestic	breed	This breeds originates from England and is a composite of Norfolk Red and Suffolk Dun.	international
UBO:0003899	Red Sindhi	Australia	Red Sindhi-Australia [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356	Sindhi|Red Karachi							eng.	AUS	domestic	breed	imported from Sind province of Pakistan	international
UBO:0003900	Sindhi	Bangladesh	Sindhi-Bangladesh [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									BGD	domestic	breed	imported from Pakistan; exotic; discarded from crossbreeding programme after 1972	international
UBO:0003901	Sindi	Brazil	Sindi-Brazil [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356	Red Karachi|Sindhi							port.	BRA	Domestic	Breed	imported from Pakistan. 	international
UBO:0003902	Red Sindhi	Democratic Republic of the Congo	Red Sindhi-Democratic Republic of the Congo [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									COD	domestic	breed	recently imported; exotic	international
UBO:0003903	Redshindi leche	Honduras	Redshindi leche-Honduras [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									HND	domestic	breed		international
UBO:0003904	Red Sindhi	India	Red Sindhi-India [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356	Malir|Sindhi|Red Karachi								IND	domestic	breed		international
UBO:0003905	Sindhi	Sri Lanka	Sindhi-Sri Lanka [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									LKA	domestic	breed	imported; exotic	international
UBO:0003906	Red Sindhi	Mexico	Red Sindhi-Mexico [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									MEX	domestic	breed		international
UBO:0003907	Red Sindhi	Mali	Red Sindhi-Mali [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									MLI	domestic	breed	recently imported from Pakistan	international
UBO:0003908	Red Sindhi	Myanmar	Red Sindhi-Myanmar [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									MMR	domestic	breed	exotic; imported during the colonial period and Post Independence period	international
UBO:0003909	Red Sindhi	Pakistan	Red Sindhi-Pakistan [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356	Red Karachi|Sindhi|Malir							eng.	PAK	domestic	breed		international
UBO:0003910	Red Sindhi	Panama	Red Sindhi-Panama [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356								EN	PAN				international
UBO:0003911	Red Sindhi	Senegal	Red Sindhi-Senegal [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356								eng.	SEN	domestic	breed	imported	international
UBO:0003912	Red Sindhi	Suriname	Red Sindhi-Suriname [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356									SUR	domestic	breed	imported; exotic	international
UBO:0003913	Sindhi	Seychelles	Sindhi-Seychelles [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356								eng.	SYC	domestic	breed	imported; exotic	international
UBO:0003914	Red Sindhi	Viet Nam	Red Sindhi-Viet Nam [Red Sindhi (Cattle)]	Red Sindhi	Cattle	Red Sindhi (Cattle)	UBO:0000356								eng	VNM	domestic	breed	imported from Pakistan.; exotic	international
UBO:0003915	Red Steppe	China	Red Steppe-China [Red Steppe (Cattle)]	Red Steppe	Cattle	Red Steppe (Cattle)	UBO:0000357	Krasnaya Nemetskaua|Red Colonist (obsulete synonym)|Red German|Red Ukrainian|Krasnaya Stepnaya							eng.	CHN	domestic	breed	composite of Red East Friesian, Angeln and Ukrainian Grey, later also Swiss Brown, East Friesian: In 1930, China imported dual-purpose Shorthorn, Brown Swiss and Anatayckas cattle to improve the local breeds in Inner Mongolia, Jilin, Liaoning and Hebei provinces.	international
UBO:0003916	Red steppe	Kazakhstan	Red steppe-Kazakhstan [Red Steppe (Cattle)]	Red Steppe	Cattle	Red Steppe (Cattle)	UBO:0000357								eng.	KAZ	domestic	breed	red Ostfrisland cattle X grey Ukrainian breed	international
UBO:0003917	Red Steppe	Turkmenistan	Red Steppe-Turkmenistan [Red Steppe (Cattle)]	Red Steppe	Cattle	Red Steppe (Cattle)	UBO:0000357								eng.	TKM	domestic	breed	composite breed developed in Turkmenistan, developed to combine positive qualities of local and imported cattle: adaptability and productivity	international
UBO:0003918	Red Steppe	Ukraine	Red Steppe-Ukraine [Red Steppe (Cattle)]	Red Steppe	Cattle	Red Steppe (Cattle)	UBO:0000357	Red Colonist|Red German|Chervona Stepova							eng.	UKR	domestic	breed	composite of Red East Friesian, Angeln and Ukranian Grey, later also Swiss Brown and East Friesian.	international
UBO:0003919	Red Steppe	Uzbekistan	Red Steppe-Uzbekistan [Red Steppe (Cattle)]	Red Steppe	Cattle	Red Steppe (Cattle)	UBO:0000357								eng.	UZB	domestic	breed		international
UBO:0003920	Retinta	Spain	Retinta-Spain [Retinta (Cattle)]	Retinta	Cattle	Retinta (Cattle)	UBO:0000358								sp.	ESP	domestic	breed	composite of Red Convex Branch and indigenous breed South Iberian	local
UBO:0003921	Riggit Galloway	United Kingdom of Great Britain and Northern Ireland	Riggit Galloway-United Kingdom of Great Britain and Northern Ireland [Riggit Galloway (Cattle)]	Riggit Galloway	Cattle	Riggit Galloway (Cattle)	UBO:0000359								en.	GBR				local
UBO:0003922	Romognola	Australia	Romognola-Australia [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360								eng.	AUS	domestic	breed	imported from Italy	international
UBO:0003923	Romangnola	United Kingdom of Great Britain and Northern Ireland	Romangnola-United Kingdom of Great Britain and Northern Ireland [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360	Romagnola								GBR	domestic	breed	imported; exotic	international
UBO:0003924	Romagnola	Honduras	Romagnola-Honduras [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360								it.	HND	domestic	breed		international
UBO:0003925	Romagnola	Ireland	Romagnola-Ireland [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360									IRL	domestic	breed		international
UBO:0003926	Romagnola	Italy	Romagnola-Italy [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360								it.	ITA	domestic	breed	indigenous breed	international
UBO:0003927	Romagnola	Mexico	Romagnola-Mexico [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360								it.	MEX	domestic	breed		international
UBO:0003928	Romagnola	Namibia	Romagnola-Namibia [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360									NAM				international
UBO:0003929	Romagnola	Paraguay	Romagnola-Paraguay [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360								it.	PRY	domestic	breed	recently imported; exotic	international
UBO:0003930	Romagnola	United States of America	Romagnola-United States of America [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360								it.	USA	domestic	breed		international
UBO:0003931	Romagnola	South Africa	Romagnola-South Africa [Romagnola (Cattle)]	Romagnola	Cattle	Romagnola (Cattle)	UBO:0000360								it.	ZAF	domestic	breed	The breed has been recently imported from Romagna, Italy. The animals are of podolian type and were improved with Chianina and Reggiana blood around 1850-80 and also contain Maremmana blood.	international
UBO:0003932	Bruna de maramures	Romania	Bruna de maramures-Romania [Romanian Brown (Cattle)]	Romanian Brown	Cattle	Romanian Brown (Cattle)	UBO:0000361	Romanian Brown							rom.	ROU	domestic	breed	continually imported from Switzerland, Austria, Germany; composite of Sura de Stepa, Mocanita and Braunvieh	local
UBO:0003933	Pinzgau de transilvania	Romania	Pinzgau de transilvania-Romania [Romanian Pinzgau (Cattle)]	Romanian Pinzgau	Cattle	Romanian Pinzgau (Cattle)	UBO:0000362	Romanian Pinzgau							rom.	ROU	domestic	breed	composite of Pinzgau and Sura de Stepa	local
UBO:0003934	Sura de stepa	Romania	Sura de stepa-Romania [Romanian Steppe (Cattle)]	Romanian Steppe	Cattle	Romanian Steppe (Cattle)	UBO:0000363	Moldavian|Romanian Grey Steppe|Romanian Steppe|Moldovenesca							rom.	ROU	domestic	breed	indigenous breed Bos taurus primigenius	local
UBO:0003935	Shvitskaya	Belarus	Shvitskaya-Belarus [Russian Brown (Cattle)]	Russian Brown	Cattle	Russian Brown (Cattle)	UBO:0000364	Russian Brown							ru.	BLR	domestic	breed	imported from Switzerland and Germany in early 19th century	regional
UBO:0003936	Shvitskaya	Russian Federation	Shvitskaya-Russian Federation [Russian Brown (Cattle)]	Russian Brown	Cattle	Russian Brown (Cattle)	UBO:0000364	Russian Brown							ru.	RUS	domestic	breed	imported from Switzerland and Germany in early 19th century	regional
UBO:0003937	Sahiwal	Australia	Sahiwal-Australia [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365								eng.	AUS	domestic	breed	imported from Punjab, Pakistan	international
UBO:0003938	Sahiwal	Burundi	Sahiwal-Burundi [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									BDI	domestic	breed	continually imported	international
UBO:0003939	Sahiwal	Bangladesh	Sahiwal-Bangladesh [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar								BGD	domestic	breed		international
UBO:0003940	Sahiwal	Democratic Republic of the Congo	Sahiwal-Democratic Republic of the Congo [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									COD	domestic	breed	recently imported; exotic	international
UBO:0003941	Sahiwal	Comoros	Sahiwal-Comoros [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									COM	domestic	breed	three bulls and one cow imported from Kenya; exotic	international
UBO:0003942	Sahiwal	Cuba	Sahiwal-Cuba [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									CUB	domestic	breed	recently introduced; exotic	international
UBO:0003943	Sahiwal	Ecuador	Sahiwal-Ecuador [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									ECU				international
UBO:0003944	Sahiwal	Honduras	Sahiwal-Honduras [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									HND	domestic	breed		international
UBO:0003945	Sahiwal	India	Sahiwal-India [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar								IND	domestic	breed	The breed derives its name from Sahiwal area in Montgomery district of Punjab (Currently in Pakistan)	international
UBO:0003946	Sahiwal	Jamaica	Sahiwal-Jamaica [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365								eng.	JAM	domestic	breed		international
UBO:0003947	Sahiwal	Kenya	Sahiwal-Kenya [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar								KEN	domestic	breed		international
UBO:0003948	Sahiwal	Sri Lanka	Sahiwal-Sri Lanka [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar								LKA	domestic	breed		international
UBO:0003949	Sahiwal	Mali	Sahiwal-Mali [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									MLI	domestic	breed	recently imported from Pakistan	international
UBO:0003950	Sahiwal	Malaysia	Sahiwal-Malaysia [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Montgomery|Lola|Multani|Teli|Lambi Bar							eng.	MYS	domestic	breed	Imported from Pakistan and India in 1900 - 1930: to date no pure-bred animals exist; Semen imported from Kenya - Kenyan Sahiwal in mid 1980's.	international
UBO:0003951	Sahiwal	Nepal	Sahiwal-Nepal [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar								NPL	domestic	breed		international
UBO:0003952	Sahiwal	New Zealand	Sahiwal-New Zealand [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									NZL	domestic	breed		international
UBO:0003953	Sahiwal	Pakistan	Sahiwal-Pakistan [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar								PAK	domestic	breed	Breed originated in South Punjab.	international
UBO:0003954	Sahiwal	Peru	Sahiwal-Peru [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									PER	domestic	breed		international
UBO:0003955	Sahiwal	Philippines	Sahiwal-Philippines [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									PHL	domestic	breed	imported; Importation of 2,400 heads Holstein-Sahiwal cattle which started in 1984 under the ADB-IFAD Project. These animals were dispersed to various farmers' cooperatives.	international
UBO:0003956	Sahiwal	Rwanda	Sahiwal-Rwanda [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									RWA	domestic	breed	exotic <br> Indo-Pakistani origin.	international
UBO:0003957	Sahiwal	Senegal	Sahiwal-Senegal [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									SEN	domestic	breed	imported	international
UBO:0003958	Sahiwal	Sierra Leone	Sahiwal-Sierra Leone [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar								SLE	domestic	breed		international
UBO:0003959	Sahiwal	Seychelles	Sahiwal-Seychelles [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									SYC	domestic	breed	imported; exotic	international
UBO:0003960	Sahiwal	Trinidad and Tobago	Sahiwal-Trinidad and Tobago [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365								eng.	TTO	domestic	breed		international
UBO:0003961	Sahiwal	United Republic of Tanzania	Sahiwal-United Republic of Tanzania [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365	Lola|Montgomery|Multani|Teli|Lambi Bar							English	TZA	domestic	breed	Punjab region of Pakstan/Sahiwal District,	international
UBO:0003962	Sahiwal	Viet Nam	Sahiwal-Viet Nam [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365								eng.	VNM	domestic	breed	the breed are originated from Pakistan	international
UBO:0003963	Sahiwal	Zambia	Sahiwal-Zambia [Sahiwal (Cattle)]	Sahiwal	Cattle	Sahiwal (Cattle)	UBO:0000365									ZMB	domestic	breed	imported from India for crossbreeding; exotic	international
UBO:0003964	Salers	Argentina	Salers-Argentina [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	ARG	domestic	breed	imported; exotic	international
UBO:0003965	Salers	Australia	Salers-Australia [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									AUS	domestic	breed	imported from France	international
UBO:0003966	Salers	Austria	Salers-Austria [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	AUT	domestic	breed		international
UBO:0003967	Salers	Belgium	Salers-Belgium [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									BEL	domestic	breed	imported; exotic	international
UBO:0003968	Salers	Brazil	Salers-Brazil [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	BRA	Domestic	Breed	imported from Europe 	international
UBO:0003969	Saler	Canada	Saler-Canada [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								EN	CAN	Domestic	Breed	Salers are considered to be one of the oldest European breeds, whose roots can be traced to 16,500-year-old cave drawings found near the town of Salers in the South Central region of France, the Auvergne, in the heart of the volcanic area of the Massif Central. 	international
UBO:0003970	Salers	Chile	Salers-Chile [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									CHL	domestic	breed	recently introduced; exotic	international
UBO:0003971	Salers	Czechia	Salers-Czechia [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	CZE	domestic	breed	imported from France	international
UBO:0003972	Salers	Germany	Salers-Germany [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								ger.	DEU	domestic	breed	imported, France	international
UBO:0003973	Salers	Denmark	Salers-Denmark [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									DNK	domestic	breed		international
UBO:0003974	Salers	France	Salers-France [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	FRA	domestic	breed	native of Auvergne	international
UBO:0003975	Salers	United Kingdom of Great Britain and Northern Ireland	Salers-United Kingdom of Great Britain and Northern Ireland [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									GBR	domestic	breed	imported; exotic	international
UBO:0003976	Salers	Guyana	Salers-Guyana [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									GUY	domestic	breed		international
UBO:0003977	Salers	Honduras	Salers-Honduras [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	HND	domestic	breed		international
UBO:0003978	Salers	Croatia	Salers-Croatia [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366	Salerz							eng.	HRV				international
UBO:0003979	Salers	Ireland	Salers-Ireland [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	IRL	domestic	breed	imported from France	international
UBO:0003980	Salers	Luxembourg	Salers-Luxembourg [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	LUX				international
UBO:0003981	Salers	Latvia	Salers-Latvia [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								eng.	LVA				international
UBO:0003982	Salers	Mexico	Salers-Mexico [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	MEX	domestic	breed		international
UBO:0003983	Salers	Nicaragua	Salers-Nicaragua [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	NIC	domestic	breed		international
UBO:0003984	Salers	Netherlands	Salers-Netherlands [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									NLD	domestic	breed	imported breed for nature management	international
UBO:0003985	Salers	Poland	Salers-Poland [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								eng.	POL	domestic		imported; exotic	international
UBO:0003986	Salers	Portugal	Salers-Portugal [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									PRT	Domestic	Breed	Originally from the Cantal â€“ Auvergne region, France	international
UBO:0003987	Salers	Paraguay	Salers-Paraguay [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	PRY	domestic	breed	recently imported; exotic	international
UBO:0003988	Salers	Russian Federation	Salers-Russian Federation [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	RUS	domestic	breed		international
UBO:0003989	Salers	Uruguay	Salers-Uruguay [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	URY	domestic	breed	recently imported; exotic	international
UBO:0003990	Salers	United States of America	Salers-United States of America [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366								fr.	USA	domestic	breed		international
UBO:0003991	Salers	South Africa	Salers-South Africa [Salers (Cattle)]	Salers	Cattle	Salers (Cattle)	UBO:0000366									ZAF	domestic	breed	recently introduced from USA	international
UBO:0003992	Hereford	Belarus	Hereford-Belarus [San Clemente (Cattle)]	San Clemente	Cattle	San Clemente (Cattle)	UBO:0000367								eng.	BLR	domestic	breed		local
UBO:0003993	Santa Gertrudes	Angola	Santa Gertrudes-Angola [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									AGO	domestic	breed	imported; exotic	international
UBO:0003994	Santa Gertrudis	Argentina	Santa Gertrudis-Argentina [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									ARG	domestic	breed	Locally adapted breed. Composite of Shorthorn and Brahman cattle originally developed in Texas, USA.	international
UBO:0003995	Santa Gertrudis	Australia	Santa Gertrudis-Australia [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									AUS	domestic	breed	imported from Texas, USA; composite of Shorthorn (5/8) and Brahman (3/8)	international
UBO:0003996	Santa Gertrudis	Bolivia (Plurinational State of)	Santa Gertrudis-Bolivia (Plurinational State of) [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									BOL	domestic	breed	imported from USA	international
UBO:0003997	Santa Gertrudis	Brazil	Santa Gertrudis-Brazil [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368								port.	BRA	Domestic	Breed	Synthetic breed. Composite of Shorthorn (5/8) and Brahman (3/8). 	international
UBO:0003998	Santa Gertrudis	Botswana	Santa Gertrudis-Botswana [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									BWA	domestic	breed	composite of Shorthorn (5/8) and Brahman (3/8)	international
UBO:0003999	Santa Gertrudis	Canada	Santa Gertrudis-Canada [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368								EN	CAN	domestic	breed	composite of Shorthorn (5/8) and Brahman (3/8)	international
UBO:0004000	Santa Gertrudis	Democratic Republic of the Congo	Santa Gertrudis-Democratic Republic of the Congo [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									COD	domestic	breed	recently imported; exotic	international
UBO:0004001	Santa Gertrudis	Colombia	Santa Gertrudis-Colombia [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									COL	domestic	breed	recently introduced from Europe; exotic	international
UBO:0004002	Santa Gertrudis	Costa Rica	Santa Gertrudis-Costa Rica [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368								espaÃ±ol	CRI				international
UBO:0004003	Santa Gertrudis	Cuba	Santa Gertrudis-Cuba [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									CUB	domestic	breed	imported; exotic	international
UBO:0004004	Santa Gertrudis	Ecuador	Santa Gertrudis-Ecuador [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368								espaÃ±ol	ECU				international
UBO:0004005	Santa Gertrudis	Fiji	Santa Gertrudis-Fiji [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									FJI	domestic	breed	imported; exotic	international
UBO:0004006	Santa Gertrudis	Guatemala	Santa Gertrudis-Guatemala [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									GTM	domestic	breed	locally adapted breed	international
UBO:0004007	Santa Gertrudis	Guyana	Santa Gertrudis-Guyana [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									GUY	domestic	breed	imported from USA	international
UBO:0004008	Santa Gertrudis	Honduras	Santa Gertrudis-Honduras [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									HND	domestic	breed	imported by Fabric Railroad Company	international
UBO:0004009	Santa-Hertruda	Kazakhstan	Santa-Hertruda-Kazakhstan [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									KAZ	domestic	breed		international
UBO:0004010	Santa Gertrudis	Kenya	Santa Gertrudis-Kenya [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									KEN	domestic	breed	recently imported	international
UBO:0004011	SANTA GERTRUDIS	Libya	SANTA GERTRUDIS-Libya [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368	Santa							eng 	LBY				international
UBO:0004012	Santa Gertrudis	Morocco	Santa Gertrudis-Morocco [Santa Gertrudis (Cattle)]	Santa Gertrudis	Cattle	Santa Gertrudis (Cattle)	UBO:0000368									MAR	domestic	breed	imported 5000 animals from USA; exotic	international
