vbo_id	term_label	to_be_ignored	breed_name_to_be_used_for_label	species_to_be_used_for_label	internal_term_merge_indicator_vboid_into_vboid	internal_date_and_issue_separated_by_pipe_yymmdd_dash_issue	gh_issue_NOT_merge_obsolete	parent_ID	source_for_parents	source_for_parents	parent_ID	source_for_parents	source_for_parents	most_common_name	synonym_type_most_common_name	source_for_most_common_name	source_for_most_common_name	synonym_dadis_name_not_used_in_label	source_for_synonym_dadis	source_for_synonym_dadis	synonym_1	source_for_synonym_1	source_for_synonym_1	synonym_2	source_for_synonym_2	source_for_synonym_2	synonym_3	source_for_synonym_3	source_for_synonym_3	synonym_4	source_for_synonym_4	source_for_synonym_4	synonym_5	source_for_synonym_5	source_for_synonym_5	synonym_label_from_merged_term	source_for_merged_term	Breed_code_1	all_source_for_breed_code_1_separated_by_pipe	all_source_for_breed_code_1_separated_by_pipe	Breed_code_2	all_source_for_breed_code_2_separated_by_pipe	all_source_for_breed_code_2_separated_by_pipe	definition 	definition_xref	definition_xref	xref1	source_for_xref1	source_for_xref1	xref2	source_for_xref2	source_for_xref2	omia_xref_internal	recognition_status_1	source_for_recognition_status_1	source_for_recognition_status_1	recognition_status_2	source_for_recognition_status_2	source_for_recognition_status_2	recognition_status_3	source_for_recognition_status_3	source_for_recognition_status_3	source_for_breed	source_for_breed	contributors	contributors	comment	general_comment	comment_from_obsoletion	description_of_origin	source_for_description_of_origin	source_for_description_of_origin	domestication_status	source_for_domestication_status	wikidata_link_for_the_country_exists_in_country_subclass	source_for_country_subclass	source_for_country_subclass	obsoletion_type	obsolete	replacement_term	replacement_label	comment	GH_issue	obsolescence_reason	curator_note	dadis_name	dadis_species_name	dadis_country	dadis_iso3_code	in_subset_transboundary
VBO:0016895	Spanish Jennet (Horse)		Spanish Jennet	Horse		231201-108	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/108	NCBITaxon:9796			VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7161	Spanish Jennet	http://purl.obolibrary.org/obo/vbo#most_common_name		ISBN:9781403966216				Jennet		ISBN:9781403966216																					A type of Spanish of riding horse that was brought to the Americas during colonization. These horses were foundational to many North and South American breeds of horses and the modern Spanish breeds. Recent efforts are reviving the breed using Jennet type horses found in modern breeds.		ISBN:9781403966216																		ISBN:9781403966216	https://orcid.org/0000-0001-6238-9793																									
VBO:0016896	Stonewall Sporthorse (Horse)		Stonewall Sporthorse	Horse		231201-108	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/108	NCBITaxon:9796			VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7162	Stonewall Sporthorse	http://purl.obolibrary.org/obo/vbo#most_common_name	http://www.stonewallsporthorse.org/																												An American breed of sport horse horse developed in California in the late 20th century and early 21st century. They are known for their leopard coat color and versatility.	http://www.stonewallsporthorse.org/																		http://www.stonewallsporthorse.org/		https://orcid.org/0000-0001-6238-9793																									
VBO:0016897	Tiger Horse (Horse)		Tiger Horse	Horse		231201-108	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/108	NCBITaxon:9796			VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7163	Tiger Horse	http://purl.obolibrary.org/obo/vbo#most_common_name	https://tigrehorse.org/;																												An American breed of gaited horse known for their spotted coat and smooth gaits	https://tigrehorse.org/;																		https://tigrehorse.org/;		https://orcid.org/0000-0001-6238-9793																									
VBO:0016898	Trottingbred Horse (Horse)		Trottingbred Horse	Horse		231201-108	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/108	NCBITaxon:9796			VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7164	Trottingbred Horse	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.itpa.biz/about-us					Trottingbred	https://www.itpa.biz/about-us																						An American breed of harness horse developed developed with Standardbreds, Hackney Horses, Welsh Ponies, and Shetland Ponies. They can be found at Trottingbred races in the Midwest of the United States.	https://www.itpa.biz/about-us																		https://www.itpa.biz/about-us		https://orcid.org/0000-0001-6238-9793																									
VBO:0016899	Göttingen minipig (Pig)		Göttingen minipig	Pig		240315-152	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/152	NCBITaxon:9823			VBO:0400000		https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-5002-8648	Göttingen minipig	http://purl.obolibrary.org/obo/vbo#most_common_name	https://en.wikipedia.org/wiki/G%C3%B6ttingen_minipig	PMID:1162186				Goettingen minipig	https://en.wikipedia.org/wiki/G%C3%B6ttingen_minipig		Goettingen miniature pig	https://orcid.org/0000-0002-5520-6597	PMID:3902373																											OMIA:1222										https://en.wikipedia.org/wiki/G%C3%B6ttingen_minipig	PMID:1162186	https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-5002-8648																									
VBO:0016900	Banni (Buffalo)		Banni	Buffalo		240514-128	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/128	NCBITaxon:89462		LBO:0001047	VBO:0400000		https://orcid.org/0000-0002-9178-3965	Banni	http://purl.obolibrary.org/obo/vbo#most_common_name		LBO:0001047																																															LBO:0001047	https://orcid.org/0000-0002-9178-3965																									
VBO:0016901	Bhadawari (Buffalo)		Bhadawari	Buffalo		240514-128	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/128	NCBITaxon:89462		LBO:0001046	VBO:0400000		https://orcid.org/0000-0002-9178-3965	Bhadawari	http://purl.obolibrary.org/obo/vbo#most_common_name		LBO:0001046																																															LBO:0001046	https://orcid.org/0000-0002-9178-3965																									
VBO:0016902	Kundhi (Buffalo)		Kundhi	Buffalo		240514-128	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/128	NCBITaxon:89462		LBO:0001051	VBO:0400000		https://orcid.org/0000-0002-9178-3965	Kundhi	http://purl.obolibrary.org/obo/vbo#most_common_name		LBO:0001051																																															LBO:0001051	https://orcid.org/0000-0002-9178-3965																									
VBO:0016903	Malaysian (Buffalo)		Malaysian	Buffalo		240514-128	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/128	NCBITaxon:89462		LBO:0001052	VBO:0400000		https://orcid.org/0000-0002-9178-3965	Malaysian	http://purl.obolibrary.org/obo/vbo#most_common_name		LBO:0001052																																															LBO:0001052	https://orcid.org/0000-0002-9178-3965																									
VBO:0016904	Pandharpuri (Buffalo)		Pandharpuri	Buffalo		240514-128	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/128	NCBITaxon:89462		LBO:0001044	VBO:0400000		https://orcid.org/0000-0002-9178-3965	Pandharpuri	http://purl.obolibrary.org/obo/vbo#most_common_name		LBO:0001044																																															LBO:0001044	https://orcid.org/0000-0002-9178-3965																									
