	UBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	transboundary name	species =parent term	parent ID
Maas-Rijn-Ijssel!%!Cattle	UBO:0000285	Maas-Rijn-Ijssel (Cattle)	Maas-Rijn-Ijssel	Cattle	UBO:0000007
Maine-Anjou!%!Cattle	UBO:0000286	Maine-Anjou (Cattle)	Maine-Anjou	Cattle	UBO:0000007
Majorcan!%!Cattle	UBO:0000287	Majorcan (Cattle)	Majorcan	Cattle	UBO:0000007
Malaysian Friesian Sahiwal!%!Cattle	UBO:0000288	Malaysian Friesian Sahiwal (Cattle)	Malaysian Friesian Sahiwal	Cattle	UBO:0000007
Manjaque!%!Cattle	UBO:0000289	Manjaque (Cattle)	Manjaque	Cattle	UBO:0000007
Maraichine!%!Cattle	UBO:0000290	Maraichine (Cattle)	Maraichine	Cattle	UBO:0000007
Marchigiana!%!Cattle	UBO:0000291	Marchigiana (Cattle)	Marchigiana	Cattle	UBO:0000007
Marine Landais!%!Cattle	UBO:0000292	Marine Landais (Cattle)	Marine Landais	Cattle	UBO:0000007
Masai!%!Cattle	UBO:0000293	Masai (Cattle)	Masai	Cattle	UBO:0000007
Mashona!%!Cattle	UBO:0000294	Mashona (Cattle)	Mashona	Cattle	UBO:0000007
Maure!%!Cattle	UBO:0000295	Maure (Cattle)	Maure	Cattle	UBO:0000007
Megruli Red!%!Cattle	UBO:0000296	Megruli Red (Cattle)	Megruli Red	Cattle	UBO:0000007
Menggu!%!Cattle	UBO:0000297	Menggu (Cattle)	Menggu	Cattle	UBO:0000007
Milking Devon!%!Cattle	UBO:0000298	Milking Devon (Cattle)	Milking Devon	Cattle	UBO:0000007
Milking Shorthorn!%!Cattle	UBO:0000299	Milking Shorthorn (Cattle)	Milking Shorthorn	Cattle	UBO:0000007
Mirandesa!%!Cattle	UBO:0000300	Mirandesa (Cattle)	Mirandesa	Cattle	UBO:0000007
Mithun!%!Cattle	UBO:0000301	Mithun (Cattle)	Mithun	Cattle	UBO:0000007
Modicana!%!Cattle	UBO:0000302	Modicana (Cattle)	Modicana	Cattle	UBO:0000007
Monchina!%!Cattle	UBO:0000303	Monchina (Cattle)	Monchina	Cattle	UBO:0000007
Mongolian!%!Cattle	UBO:0000304	Mongolian (Cattle)	Mongolian	Cattle	UBO:0000007
Montana!%!Cattle	UBO:0000305	Montana (Cattle)	Montana	Cattle	UBO:0000007
MontbÃ©liarde!%!Cattle	UBO:0000306	MontbÃ©liarde (Cattle)	MontbÃ©liarde	Cattle	UBO:0000007
Morucha!%!Cattle	UBO:0000307	Morucha (Cattle)	Morucha	Cattle	UBO:0000007
Mpwapwa |Breed!%!Cattle	UBO:0000308	Mpwapwa |Breed (Cattle)	Mpwapwa |Breed	Cattle	UBO:0000007
Murboden!%!Cattle	UBO:0000309	Murboden (Cattle)	Murboden	Cattle	UBO:0000007
Murcian!%!Cattle	UBO:0000310	Murcian (Cattle)	Murcian	Cattle	UBO:0000007
Murnau-Werdenfels!%!Cattle	UBO:0000311	Murnau-Werdenfels (Cattle)	Murnau-Werdenfels	Cattle	UBO:0000007
Murray Grey!%!Cattle	UBO:0000312	Murray Grey (Cattle)	Murray Grey	Cattle	UBO:0000007
Musi!%!Cattle	UBO:0000313	Musi (Cattle)	Musi	Cattle	UBO:0000007
Muturu!%!Cattle	UBO:0000314	Muturu (Cattle)	Muturu	Cattle	UBO:0000007
N'dama!%!Cattle	UBO:0000315	N'dama (Cattle)	N'dama	Cattle	UBO:0000007
N'gabou!%!Cattle	UBO:0000316	N'gabou (Cattle)	N'gabou	Cattle	UBO:0000007
Nantaise!%!Cattle	UBO:0000317	Nantaise (Cattle)	Nantaise	Cattle	UBO:0000007
Nelore!%!Cattle	UBO:0000318	Nelore (Cattle)	Nelore	Cattle	UBO:0000007
Nguni!%!Cattle	UBO:0000319	Nguni (Cattle)	Nguni	Cattle	UBO:0000007
Nil!%!Cattle	UBO:0000320	Nil (Cattle)	Nil	Cattle	UBO:0000007
Nkone!%!Cattle	UBO:0000321	Nkone (Cattle)	Nkone	Cattle	UBO:0000007
Normande!%!Cattle	UBO:0000322	Normande (Cattle)	Normande	Cattle	UBO:0000007
Norwegian Red!%!Cattle	UBO:0000323	Norwegian Red (Cattle)	Norwegian Red	Cattle	UBO:0000007
Ongole!%!Cattle	UBO:0000324	Ongole (Cattle)	Ongole	Cattle	UBO:0000007
Original Angler!%!Cattle	UBO:0000325	Original Angler (Cattle)	Original Angler	Cattle	UBO:0000007
Original Brown!%!Cattle	UBO:0000326	Original Brown (Cattle)	Original Brown	Cattle	UBO:0000007
Original German Brown!%!Cattle	UBO:0000327	Original German Brown (Cattle)	Original German Brown	Cattle	UBO:0000007
Original Swiss Brown!%!Cattle	UBO:0000328	Original Swiss Brown (Cattle)	Original Swiss Brown	Cattle	UBO:0000007
Palmera!%!Cattle	UBO:0000329	Palmera (Cattle)	Palmera	Cattle	UBO:0000007
Parthenais!%!Cattle	UBO:0000330	Parthenais (Cattle)	Parthenais	Cattle	UBO:0000007
Pie Rouge des Plaines!%!Cattle	UBO:0000331	Pie Rouge des Plaines (Cattle)	Pie Rouge des Plaines	Cattle	UBO:0000007
Piedmont!%!Cattle	UBO:0000332	Piedmont (Cattle)	Piedmont	Cattle	UBO:0000007
Pineywoods!%!Cattle	UBO:0000333	Pineywoods (Cattle)	Pineywoods	Cattle	UBO:0000007
Pinzgau!%!Cattle	UBO:0000334	Pinzgau (Cattle)	Pinzgau	Cattle	UBO:0000007
Pinzgau polled!%!Cattle	UBO:0000335	Pinzgau polled (Cattle)	Pinzgau polled	Cattle	UBO:0000007
Podolian!%!Cattle	UBO:0000336	Podolian (Cattle)	Podolian	Cattle	UBO:0000007
polish black and white!%!Cattle	UBO:0000337	polish black and white (Cattle)	polish black and white	Cattle	UBO:0000007
Polish Red!%!Cattle	UBO:0000338	Polish Red (Cattle)	Polish Red	Cattle	UBO:0000007
Polish red and white!%!Cattle	UBO:0000339	Polish red and white (Cattle)	Polish red and white	Cattle	UBO:0000007
Polish Whitebacked!%!Cattle	UBO:0000340	Polish Whitebacked (Cattle)	Polish Whitebacked	Cattle	UBO:0000007
Polled Hereford!%!Cattle	UBO:0000341	Polled Hereford (Cattle)	Polled Hereford	Cattle	UBO:0000007
Polled Shorthorn!%!Cattle	UBO:0000342	Polled Shorthorn (Cattle)	Polled Shorthorn	Cattle	UBO:0000007
Polled Sussex!%!Cattle	UBO:0000343	Polled Sussex (Cattle)	Polled Sussex	Cattle	UBO:0000007
Pomurska (Murboden) cattle - extinct!%!Cattle	UBO:0000344	Pomurska (Murboden) cattle - extinct (Cattle)	Pomurska (Murboden) cattle - extinct	Cattle	UBO:0000007
Puerto Rican!%!Cattle	UBO:0000345	Puerto Rican (Cattle)	Puerto Rican	Cattle	UBO:0000007
Pustertaler Sprinzen!%!Cattle	UBO:0000346	Pustertaler Sprinzen (Cattle)	Pustertaler Sprinzen	Cattle	UBO:0000007
Pyrenean!%!Cattle	UBO:0000347	Pyrenean (Cattle)	Pyrenean	Cattle	UBO:0000007
Randall Lineback!%!Cattle	UBO:0000348	Randall Lineback (Cattle)	Randall Lineback	Cattle	UBO:0000007
Rawicka!%!Cattle	UBO:0000349	Rawicka (Cattle)	Rawicka	Cattle	UBO:0000007
Red Angus!%!Cattle	UBO:0000350	Red Angus (Cattle)	Red Angus	Cattle	UBO:0000007
Red Bororo!%!Cattle	UBO:0000351	Red Bororo (Cattle)	Red Bororo	Cattle	UBO:0000007
Red Brangus!%!Cattle	UBO:0000352	Red Brangus (Cattle)	Red Brangus	Cattle	UBO:0000007
Red Dane!%!Cattle	UBO:0000353	Red Dane (Cattle)	Red Dane	Cattle	UBO:0000007
Red Pied dual purpose!%!Cattle	UBO:0000354	Red Pied dual purpose (Cattle)	Red Pied dual purpose	Cattle	UBO:0000007
Red Poll!%!Cattle	UBO:0000355	Red Poll (Cattle)	Red Poll	Cattle	UBO:0000007
Red Sindhi!%!Cattle	UBO:0000356	Red Sindhi (Cattle)	Red Sindhi	Cattle	UBO:0000007
Red Steppe!%!Cattle	UBO:0000357	Red Steppe (Cattle)	Red Steppe	Cattle	UBO:0000007
Retinta!%!Cattle	UBO:0000358	Retinta (Cattle)	Retinta	Cattle	UBO:0000007
Riggit Galloway!%!Cattle	UBO:0000359	Riggit Galloway (Cattle)	Riggit Galloway	Cattle	UBO:0000007
Romagnola!%!Cattle	UBO:0000360	Romagnola (Cattle)	Romagnola	Cattle	UBO:0000007
Romanian Brown!%!Cattle	UBO:0000361	Romanian Brown (Cattle)	Romanian Brown	Cattle	UBO:0000007
Romanian Pinzgau!%!Cattle	UBO:0000362	Romanian Pinzgau (Cattle)	Romanian Pinzgau	Cattle	UBO:0000007
Romanian Steppe!%!Cattle	UBO:0000363	Romanian Steppe (Cattle)	Romanian Steppe	Cattle	UBO:0000007
Russian Brown!%!Cattle	UBO:0000364	Russian Brown (Cattle)	Russian Brown	Cattle	UBO:0000007
Sahiwal!%!Cattle	UBO:0000365	Sahiwal (Cattle)	Sahiwal	Cattle	UBO:0000007
Salers!%!Cattle	UBO:0000366	Salers (Cattle)	Salers	Cattle	UBO:0000007
San Clemente!%!Cattle	UBO:0000367	San Clemente (Cattle)	San Clemente	Cattle	UBO:0000007
Santa Gertrudis!%!Cattle	UBO:0000368	Santa Gertrudis (Cattle)	Santa Gertrudis	Cattle	UBO:0000007
Sarda!%!Cattle	UBO:0000369	Sarda (Cattle)	Sarda	Cattle	UBO:0000007
Sayaguesa!%!Cattle	UBO:0000370	Sayaguesa (Cattle)	Sayaguesa	Cattle	UBO:0000007
Senepol!%!Cattle	UBO:0000371	Senepol (Cattle)	Senepol	Cattle	UBO:0000007
Serrana Black!%!Cattle	UBO:0000372	Serrana Black (Cattle)	Serrana Black	Cattle	UBO:0000007
Serrana de Teruel!%!Cattle	UBO:0000373	Serrana de Teruel (Cattle)	Serrana de Teruel	Cattle	UBO:0000007
Shetland!%!Cattle	UBO:0000374	Shetland (Cattle)	Shetland	Cattle	UBO:0000007
Shorthorn!%!Cattle	UBO:0000375	Shorthorn (Cattle)	Shorthorn	Cattle	UBO:0000007
Shuwa!%!Cattle	UBO:0000376	Shuwa (Cattle)	Shuwa	Cattle	UBO:0000007
Siboney!%!Cattle	UBO:0000377	Siboney (Cattle)	Siboney	Cattle	UBO:0000007
Simbrah!%!Cattle	UBO:0000378	Simbrah (Cattle)	Simbrah	Cattle	UBO:0000007
Simford!%!Cattle	UBO:0000379	Simford (Cattle)	Simford	Cattle	UBO:0000007
Simmental!%!Cattle	UBO:0000380	Simmental (Cattle)	Simmental	Cattle	UBO:0000007
Siri!%!Cattle	UBO:0000381	Siri (Cattle)	Siri	Cattle	UBO:0000007
Slovenian White (extinct)!%!Cattle	UBO:0000382	Slovenian White (extinct) (Cattle)	Slovenian White (extinct)	Cattle	UBO:0000007
Sokoto Gudali!%!Cattle	UBO:0000383	Sokoto Gudali (Cattle)	Sokoto Gudali	Cattle	UBO:0000007
Somba!%!Cattle	UBO:0000384	Somba (Cattle)	Somba	Cattle	UBO:0000007
South Devon!%!Cattle	UBO:0000385	South Devon (Cattle)	South Devon	Cattle	UBO:0000007
Suiz-bu!%!Cattle	UBO:0000386	Suiz-bu (Cattle)	Suiz-bu	Cattle	UBO:0000007
Suksun!%!Cattle	UBO:0000387	Suksun (Cattle)	Suksun	Cattle	UBO:0000007
Sunandini!%!Cattle	UBO:0000388	Sunandini (Cattle)	Sunandini	Cattle	UBO:0000007
Sussex!%!Cattle	UBO:0000389	Sussex (Cattle)	Sussex	Cattle	UBO:0000007
Svensk FjÃ¤llras!%!Cattle	UBO:0000390	Svensk FjÃ¤llras (Cattle)	Svensk FjÃ¤llras	Cattle	UBO:0000007
Swedish Red!%!Cattle	UBO:0000391	Swedish Red (Cattle)	Swedish Red	Cattle	UBO:0000007
Swedish Red and White!%!Cattle	UBO:0000392	Swedish Red and White (Cattle)	Swedish Red and White	Cattle	UBO:0000007
Swiss Fleckvieh!%!Cattle	UBO:0000393	Swiss Fleckvieh (Cattle)	Swiss Fleckvieh	Cattle	UBO:0000007
Swiss Herens!%!Cattle	UBO:0000394	Swiss Herens (Cattle)	Swiss Herens	Cattle	UBO:0000007
Sychevka!%!Cattle	UBO:0000395	Sychevka (Cattle)	Sychevka	Cattle	UBO:0000007
Sykia!%!Cattle	UBO:0000396	Sykia (Cattle)	Sykia	Cattle	UBO:0000007
Tabapua!%!Cattle	UBO:0000397	Tabapua (Cattle)	Tabapua	Cattle	UBO:0000007
Tagil!%!Cattle	UBO:0000398	Tagil (Cattle)	Tagil	Cattle	UBO:0000007
Tambov Red!%!Cattle	UBO:0000399	Tambov Red (Cattle)	Tambov Red	Cattle	UBO:0000007
Tanganyika Shorthorn Zebu!%!Cattle	UBO:0000400	Tanganyika Shorthorn Zebu (Cattle)	Tanganyika Shorthorn Zebu	Cattle	UBO:0000007
Tanganyika shorthorn zebu (TSHZ)!%!Cattle	UBO:0000401	Tanganyika shorthorn zebu (TSHZ) (Cattle)	Tanganyika shorthorn zebu (TSHZ)	Cattle	UBO:0000007
Tarentaise!%!Cattle	UBO:0000402	Tarentaise (Cattle)	Tarentaise	Cattle	UBO:0000007
Taurindicus!%!Cattle	UBO:0000403	Taurindicus (Cattle)	Taurindicus	Cattle	UBO:0000007
Texas Longhorn!%!Cattle	UBO:0000404	Texas Longhorn (Cattle)	Texas Longhorn	Cattle	UBO:0000007
Thari!%!Cattle	UBO:0000405	Thari (Cattle)	Thari	Cattle	UBO:0000007
Tinos!%!Cattle	UBO:0000406	Tinos (Cattle)	Tinos	Cattle	UBO:0000007
Tirolean gray cattle!%!Cattle	UBO:0000407	Tirolean gray cattle (Cattle)	Tirolean gray cattle	Cattle	UBO:0000007
Tiroler Grauvieh!%!Cattle	UBO:0000408	Tiroler Grauvieh (Cattle)	Tiroler Grauvieh	Cattle	UBO:0000007
Toupouri!%!Cattle	UBO:0000409	Toupouri (Cattle)	Toupouri	Cattle	UBO:0000007
Transboundary!%!Cattle	UBO:0000410	Transboundary (Cattle)	Transboundary	Cattle	UBO:0000007
Tropical Dairy Criollo!%!Cattle	UBO:0000411	Tropical Dairy Criollo (Cattle)	Tropical Dairy Criollo	Cattle	UBO:0000007
Tsine!%!Cattle	UBO:0000412	Tsine (Cattle)	Tsine	Cattle	UBO:0000007
Tswana!%!Cattle	UBO:0000413	Tswana (Cattle)	Tswana	Cattle	UBO:0000007
Tudanca!%!Cattle	UBO:0000414	Tudanca (Cattle)	Tudanca	Cattle	UBO:0000007
Tuli!%!Cattle	UBO:0000415	Tuli (Cattle)	Tuli	Cattle	UBO:0000007
Tyrolean Grey!%!Cattle	UBO:0000416	Tyrolean Grey (Cattle)	Tyrolean Grey	Cattle	UBO:0000007
Vache Maraichine!%!Cattle	UBO:0000417	Vache Maraichine (Cattle)	Vache Maraichine	Cattle	UBO:0000007
Vaynol!%!Cattle	UBO:0000418	Vaynol (Cattle)	Vaynol	Cattle	UBO:0000007
Verbeterd Roodbont!%!Cattle	UBO:0000419	Verbeterd Roodbont (Cattle)	Verbeterd Roodbont	Cattle	UBO:0000007
Vianesa!%!Cattle	UBO:0000420	Vianesa (Cattle)	Vianesa	Cattle	UBO:0000007
Vosges!%!Cattle	UBO:0000421	Vosges (Cattle)	Vosges	Cattle	UBO:0000007
Wagyu!%!Cattle	UBO:0000422	Wagyu (Cattle)	Wagyu	Cattle	UBO:0000007
Watusi!%!Cattle	UBO:0000423	Watusi (Cattle)	Watusi	Cattle	UBO:0000007
Welsh Black!%!Cattle	UBO:0000424	Welsh Black (Cattle)	Welsh Black	Cattle	UBO:0000007
West African Zebu!%!Cattle	UBO:0000425	West African Zebu (Cattle)	West African Zebu	Cattle	UBO:0000007
White Blue Dual Purpose!%!Cattle	UBO:0000426	White Blue Dual Purpose (Cattle)	White Blue Dual Purpose	Cattle	UBO:0000007
White Fulani!%!Cattle	UBO:0000427	White Fulani (Cattle)	White Fulani	Cattle	UBO:0000007
White Galloway!%!Cattle	UBO:0000428	White Galloway (Cattle)	White Galloway	Cattle	UBO:0000007
White Park!%!Cattle	UBO:0000429	White Park (Cattle)	White Park	Cattle	UBO:0000007
Whitebacked Cattle!%!Cattle	UBO:0000430	Whitebacked Cattle (Cattle)	Whitebacked Cattle	Cattle	UBO:0000007
Whitebred Shorthorn!%!Cattle	UBO:0000431	Whitebred Shorthorn (Cattle)	Whitebred Shorthorn	Cattle	UBO:0000007
YacumeÃ±o!%!Cattle	UBO:0000432	YacumeÃ±o (Cattle)	YacumeÃ±o	Cattle	UBO:0000007
Yakut!%!Cattle	UBO:0000433	Yakut (Cattle)	Yakut	Cattle	UBO:0000007
Yaroslavl!%!Cattle	UBO:0000434	Yaroslavl (Cattle)	Yaroslavl	Cattle	UBO:0000007
Yola!%!Cattle	UBO:0000435	Yola (Cattle)	Yola	Cattle	UBO:0000007
Yurino!%!Cattle	UBO:0000436	Yurino (Cattle)	Yurino	Cattle	UBO:0000007
Zanzibar zebu!%!Cattle	UBO:0000437	Zanzibar zebu (Cattle)	Zanzibar zebu	Cattle	UBO:0000007
Zwerg Zebu!%!Cattle	UBO:0000438	Zwerg Zebu (Cattle)	Zwerg Zebu	Cattle	UBO:0000007
Altsteirer!%!Chicken	UBO:0000439	Altsteirer (Chicken)	Altsteirer	Chicken	UBO:0000008
Amrock!%!Chicken	UBO:0000440	Amrock (Chicken)	Amrock	Chicken	UBO:0000008
Ancona!%!Chicken	UBO:0000441	Ancona (Chicken)	Ancona	Chicken	UBO:0000008
Andalusian!%!Chicken	UBO:0000442	Andalusian (Chicken)	Andalusian	Chicken	UBO:0000008
Appenzeller Barthuhn!%!Chicken	UBO:0000443	Appenzeller Barthuhn (Chicken)	Appenzeller Barthuhn	Chicken	UBO:0000008
Appenzeller Spitzenhauben!%!Chicken	UBO:0000444	Appenzeller Spitzenhauben (Chicken)	Appenzeller Spitzenhauben	Chicken	UBO:0000008
Araucana!%!Chicken	UBO:0000445	Araucana (Chicken)	Araucana	Chicken	UBO:0000008
Aseel!%!Chicken	UBO:0000446	Aseel (Chicken)	Aseel	Chicken	UBO:0000008
Augsburger!%!Chicken	UBO:0000447	Augsburger (Chicken)	Augsburger	Chicken	UBO:0000008
Australorp!%!Chicken	UBO:0000448	Australorp (Chicken)	Australorp	Chicken	UBO:0000008
Baladi Beheri!%!Chicken	UBO:0000449	Baladi Beheri (Chicken)	Baladi Beheri	Chicken	UBO:0000008
Bantam!%!Chicken	UBO:0000450	Bantam (Chicken)	Bantam	Chicken	UBO:0000008
Barbu d'Anvers!%!Chicken	UBO:0000451	Barbu d'Anvers (Chicken)	Barbu d'Anvers	Chicken	UBO:0000008
Barbu d'Uccle!%!Chicken	UBO:0000452	Barbu d'Uccle (Chicken)	Barbu d'Uccle	Chicken	UBO:0000008
Barnevelder!%!Chicken	UBO:0000453	Barnevelder (Chicken)	Barnevelder	Chicken	UBO:0000008
Barnevelder Bantam!%!Chicken	UBO:0000454	Barnevelder Bantam (Chicken)	Barnevelder Bantam	Chicken	UBO:0000008
Barred Plymouth Rock D11!%!Chicken	UBO:0000455	Barred Plymouth Rock D11 (Chicken)	Barred Plymouth Rock D11	Chicken	UBO:0000008
Barred Rock P11!%!Chicken	UBO:0000456	Barred Rock P11 (Chicken)	Barred Rock P11	Chicken	UBO:0000008
Barred Rock P55!%!Chicken	UBO:0000457	Barred Rock P55 (Chicken)	Barred Rock P55	Chicken	UBO:0000008
Barred Rock WJ44!%!Chicken	UBO:0000458	Barred Rock WJ44 (Chicken)	Barred Rock WJ44	Chicken	UBO:0000008
Belarus 9!%!Chicken	UBO:0000459	Belarus 9 (Chicken)	Belarus 9	Chicken	UBO:0000008
Belgian Game!%!Chicken	UBO:0000460	Belgian Game (Chicken)	Belgian Game	Chicken	UBO:0000008
Black Australorp!%!Chicken	UBO:0000461	Black Australorp (Chicken)	Black Australorp	Chicken	UBO:0000008
Braekel!%!Chicken	UBO:0000462	Braekel (Chicken)	Braekel	Chicken	UBO:0000008
Brahma!%!Chicken	UBO:0000463	Brahma (Chicken)	Brahma	Chicken	UBO:0000008
Bresse!%!Chicken	UBO:0000464	Bresse (Chicken)	Bresse	Chicken	UBO:0000008
broiler!%!Chicken	UBO:0000465	broiler (Chicken)	broiler	Chicken	UBO:0000008
Campine!%!Chicken	UBO:0000466	Campine (Chicken)	Campine	Chicken	UBO:0000008
Catalana Del Prat!%!Chicken	UBO:0000467	Catalana Del Prat (Chicken)	Catalana Del Prat	Chicken	UBO:0000008
Chantecler!%!Chicken	UBO:0000468	Chantecler (Chicken)	Chantecler	Chicken	UBO:0000008
Cochin!%!Chicken	UBO:0000469	Cochin (Chicken)	Cochin	Chicken	UBO:0000008
Cochin Bantam!%!Chicken	UBO:0000470	Cochin Bantam (Chicken)	Cochin Bantam	Chicken	UBO:0000008
Columbian Rock!%!Chicken	UBO:0000471	Columbian Rock (Chicken)	Columbian Rock	Chicken	UBO:0000008
Commercial strain- broiler- Arbor Acres AA broiler breeders!%!Chicken	UBO:0000472	Commercial strain- broiler- Arbor Acres AA broiler breeders (Chicken)	Commercial strain- broiler- Arbor Acres AA broiler breeders	Chicken	UBO:0000008
Commercial strain- broiler- Avian!%!Chicken	UBO:0000473	Commercial strain- broiler- Avian (Chicken)	Commercial strain- broiler- Avian	Chicken	UBO:0000008
Commercial strain- broiler- Euribrid Hybro!%!Chicken	UBO:0000474	Commercial strain- broiler- Euribrid Hybro (Chicken)	Commercial strain- broiler- Euribrid Hybro	Chicken	UBO:0000008
Commercial strain- broiler- Euribrid Hybro N!%!Chicken	UBO:0000475	Commercial strain- broiler- Euribrid Hybro N (Chicken)	Commercial strain- broiler- Euribrid Hybro N	Chicken	UBO:0000008
Commercial strain- broiler- ISA Vedette!%!Chicken	UBO:0000476	Commercial strain- broiler- ISA Vedette (Chicken)	Commercial strain- broiler- ISA Vedette	Chicken	UBO:0000008
Commercial strain- broiler- Kabir Chicks Ltd.!%!Chicken	UBO:0000477	Commercial strain- broiler- Kabir Chicks Ltd. (Chicken)	Commercial strain- broiler- Kabir Chicks Ltd.	Chicken	UBO:0000008
Commercial strain- broiler- Ross!%!Chicken	UBO:0000478	Commercial strain- broiler- Ross (Chicken)	Commercial strain- broiler- Ross	Chicken	UBO:0000008
Commercial strain- broiler- Ross 208!%!Chicken	UBO:0000479	Commercial strain- broiler- Ross 208 (Chicken)	Commercial strain- broiler- Ross 208	Chicken	UBO:0000008
Commercial strain- broiler- Ross 308!%!Chicken	UBO:0000480	Commercial strain- broiler- Ross 308 (Chicken)	Commercial strain- broiler- Ross 308	Chicken	UBO:0000008
Commercial strain- broiler- Ross Indian River!%!Chicken	UBO:0000481	Commercial strain- broiler- Ross Indian River (Chicken)	Commercial strain- broiler- Ross Indian River	Chicken	UBO:0000008
Commercial strain- broiler- Shaver Redbro!%!Chicken	UBO:0000482	Commercial strain- broiler- Shaver Redbro (Chicken)	Commercial strain- broiler- Shaver Redbro	Chicken	UBO:0000008
Commercial strain- broiler- Shaver Starbro!%!Chicken	UBO:0000483	Commercial strain- broiler- Shaver Starbro (Chicken)	Commercial strain- broiler- Shaver Starbro	Chicken	UBO:0000008
Commercial strain- Derco!%!Chicken	UBO:0000484	Commercial strain- Derco (Chicken)	Commercial strain- Derco	Chicken	UBO:0000008
Commercial strain- Hubbard!%!Chicken	UBO:0000485	Commercial strain- Hubbard (Chicken)	Commercial strain- Hubbard	Chicken	UBO:0000008
Commercial strain- Jupiter!%!Chicken	UBO:0000486	Commercial strain- Jupiter (Chicken)	Commercial strain- Jupiter	Chicken	UBO:0000008
Commercial strain- layer SB 98!%!Chicken	UBO:0000487	Commercial strain- layer SB 98 (Chicken)	Commercial strain- layer SB 98	Chicken	UBO:0000008
Commercial strain- layer- Anak!%!Chicken	UBO:0000488	Commercial strain- layer- Anak (Chicken)	Commercial strain- layer- Anak	Chicken	UBO:0000008
Commercial strain- layer- Babcock!%!Chicken	UBO:0000489	Commercial strain- layer- Babcock (Chicken)	Commercial strain- layer- Babcock	Chicken	UBO:0000008
Commercial strain- layer- Babolna Harco!%!Chicken	UBO:0000490	Commercial strain- layer- Babolna Harco (Chicken)	Commercial strain- layer- Babolna Harco	Chicken	UBO:0000008
Commercial strain- layer- Babolna Tetra-SL!%!Chicken	UBO:0000491	Commercial strain- layer- Babolna Tetra-SL (Chicken)	Commercial strain- layer- Babolna Tetra-SL	Chicken	UBO:0000008
Commercial strain- layer- Cobb 500!%!Chicken	UBO:0000492	Commercial strain- layer- Cobb 500 (Chicken)	Commercial strain- layer- Cobb 500	Chicken	UBO:0000008
Commercial strain- layer- Dekalb!%!Chicken	UBO:0000493	Commercial strain- layer- Dekalb (Chicken)	Commercial strain- layer- Dekalb	Chicken	UBO:0000008
Commercial strain- layer- Euribrid Hisex!%!Chicken	UBO:0000494	Commercial strain- layer- Euribrid Hisex (Chicken)	Commercial strain- layer- Euribrid Hisex	Chicken	UBO:0000008
Commercial strain- layer- Euribrid Hisex Brown!%!Chicken	UBO:0000495	Commercial strain- layer- Euribrid Hisex Brown (Chicken)	Commercial strain- layer- Euribrid Hisex Brown	Chicken	UBO:0000008
Commercial strain- layer- Euribrid Hisex White!%!Chicken	UBO:0000496	Commercial strain- layer- Euribrid Hisex White (Chicken)	Commercial strain- layer- Euribrid Hisex White	Chicken	UBO:0000008
Commercial strain- layer- H&N Brown Nick!%!Chicken	UBO:0000497	Commercial strain- layer- H&N Brown Nick (Chicken)	Commercial strain- layer- H&N Brown Nick	Chicken	UBO:0000008
Commercial strain- layer- Hendrix Bovan Brown!%!Chicken	UBO:0000498	Commercial strain- layer- Hendrix Bovan Brown (Chicken)	Commercial strain- layer- Hendrix Bovan Brown	Chicken	UBO:0000008
Commercial strain- layer- Hendrix Bovan Goldline!%!Chicken	UBO:0000499	Commercial strain- layer- Hendrix Bovan Goldline (Chicken)	Commercial strain- layer- Hendrix Bovan Goldline	Chicken	UBO:0000008
Commercial strain- layer- Hubbard Golden Comet!%!Chicken	UBO:0000500	Commercial strain- layer- Hubbard Golden Comet (Chicken)	Commercial strain- layer- Hubbard Golden Comet	Chicken	UBO:0000008
Commercial strain- layer- Hy-Line!%!Chicken	UBO:0000501	Commercial strain- layer- Hy-Line (Chicken)	Commercial strain- layer- Hy-Line	Chicken	UBO:0000008
Commercial strain- layer- Hy-Line Brown!%!Chicken	UBO:0000502	Commercial strain- layer- Hy-Line Brown (Chicken)	Commercial strain- layer- Hy-Line Brown	Chicken	UBO:0000008
Commercial strain- layer- Hy-Line White!%!Chicken	UBO:0000503	Commercial strain- layer- Hy-Line White (Chicken)	Commercial strain- layer- Hy-Line White	Chicken	UBO:0000008
Commercial strain- layer- ISA Brown!%!Chicken	UBO:0000504	Commercial strain- layer- ISA Brown (Chicken)	Commercial strain- layer- ISA Brown	Chicken	UBO:0000008
Commercial strain- layer- Leghorn!%!Chicken	UBO:0000505	Commercial strain- layer- Leghorn (Chicken)	Commercial strain- layer- Leghorn	Chicken	UBO:0000008
Commercial strain- layer- Lohmann!%!Chicken	UBO:0000506	Commercial strain- layer- Lohmann (Chicken)	Commercial strain- layer- Lohmann	Chicken	UBO:0000008
Commercial strain- layer- Lohmann Brown!%!Chicken	UBO:0000507	Commercial strain- layer- Lohmann Brown (Chicken)	Commercial strain- layer- Lohmann Brown	Chicken	UBO:0000008
Commercial strain- layer- Lohmann White!%!Chicken	UBO:0000508	Commercial strain- layer- Lohmann White (Chicken)	Commercial strain- layer- Lohmann White	Chicken	UBO:0000008
Commercial strain- layer- Shaver!%!Chicken	UBO:0000509	Commercial strain- layer- Shaver (Chicken)	Commercial strain- layer- Shaver	Chicken	UBO:0000008
