	VBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	new label	updated transboundary name (correct spelling)	species =parent term	parent ID	source for parents	in subset transboundary
Exmoor Pony!%!Horse	VBO:0000956	Exmoor Pony (Horse)	Exmoor Pony; Horse	Exmoor Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Falabella Pony!%!Horse	VBO:0000957	Falabella Pony (Horse)	Falabella Pony; Horse	Falabella Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Fell Pony!%!Horse	VBO:0000958	Fell Pony (Horse)	Fell Pony; Horse	Fell Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Finnhorse!%!Horse	VBO:0000959	Finnhorse (Horse)	Finnhorse; Horse	Finnhorse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Finnish warmblood!%!Horse	VBO:0000960	Finnish warmblood (Horse)	Finnish warmblood; Horse	Finnish warmblood	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Fjord!%!Horse	VBO:0000961	Fjord (Horse)	Fjord; Horse	Fjord	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Fjord Horse!%!Horse	VBO:0000962	Fjord Horse (Horse)	Fjord Horse; Horse	Fjord Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Flamand!%!Horse	VBO:0000963	Flamand (Horse)	Flamand; Horse	Flamand	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Frederiksborg Horse!%!Horse	VBO:0000964	Frederiksborg Horse (Horse)	Frederiksborg Horse; Horse	Frederiksborg Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Freiberger!%!Horse	VBO:0000965	Freiberger (Horse)	Freiberger; Horse	Freiberger	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
French Chaser!%!Horse	VBO:0000966	French Chaser (Horse)	French Chaser; Horse	French Chaser	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
French Saddlebred!%!Horse	VBO:0000967	French Saddlebred (Horse)	French Saddlebred; Horse	French Saddlebred	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
French Trotter!%!Horse	VBO:0000968	French Trotter (Horse)	French Trotter; Horse	French Trotter	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Friesian!%!Horse	VBO:0000969	Friesian (Horse)	Friesian; Horse	Friesian	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Furioso-Northstar!%!Horse	VBO:0000970	Furioso-Northstar (Horse)	Furioso-Northstar; Horse	Furioso-Northstar	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Gelder horse!%!Horse	VBO:0000971	Gelder horse (Horse)	Gelder horse; Horse	Gelder horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
German Riding Pony!%!Horse	VBO:0000972	German Riding Pony (Horse)	German Riding Pony; Horse	German Riding Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Gidran!%!Horse	VBO:0000973	Gidran (Horse)	Gidran; Horse	Gidran	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Gotland Pony!%!Horse	VBO:0000974	Gotland Pony (Horse)	Gotland Pony; Horse	Gotland Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Groninger horse!%!Horse	VBO:0000975	Groninger horse (Horse)	Groninger horse; Horse	Groninger horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hackney!%!Horse	VBO:0000976	Hackney (Horse)	Hackney; Horse	Hackney	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hackney Pony!%!Horse	VBO:0000977	Hackney Pony (Horse)	Hackney Pony; Horse	Hackney Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Haflinger!%!Horse	VBO:0000978	Haflinger (Horse)	Haflinger; Horse	Haflinger	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hanoverian!%!Horse	VBO:0000979	Hanoverian (Horse)	Hanoverian; Horse	Hanoverian	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hausa!%!Horse	VBO:0000980	Hausa (Horse)	Hausa; Horse	Hausa	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hessen!%!Horse	VBO:0000981	Hessen (Horse)	Hessen; Horse	Hessen	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Highland Pony!%!Horse	VBO:0000982	Highland Pony (Horse)	Highland Pony; Horse	Highland Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hispano-Arabe!%!Horse	VBO:0000983	Hispano-Arabe (Horse)	Hispano-Arabe; Horse	Hispano-Arabe	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hodh!%!Horse	VBO:0000984	Hodh (Horse)	Hodh; Horse	Hodh	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Holstein!%!Horse	VBO:0000985	Holstein (Horse)	Holstein; Horse	Holstein	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Holsteiner!%!Horse	VBO:0000986	Holsteiner (Horse)	Holsteiner; Horse	Holsteiner	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hutsul!%!Horse	VBO:0000987	Hutsul (Horse)	Hutsul; Horse	Hutsul	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Iberoamericana!%!Horse	VBO:0000988	Iberoamericana (Horse)	Iberoamericana; Horse	Iberoamericana	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Iberoamericano!%!Horse	VBO:0000989	Iberoamericano (Horse)	Iberoamericano; Horse	Iberoamericano	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Iceland Pony!%!Horse	VBO:0000990	Iceland Pony (Horse)	Iceland Pony; Horse	Iceland Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Icelandic Horse!%!Horse	VBO:0000991	Icelandic Horse (Horse)	Icelandic Horse; Horse	Icelandic Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Irish Cobb!%!Horse	VBO:0000992	Irish Cobb (Horse)	Irish Cobb; Horse	Irish Cobb	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Irish Draught!%!Horse	VBO:0000993	Irish Draught (Horse)	Irish Draught; Horse	Irish Draught	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Irish Pony!%!Horse	VBO:0000994	Irish Pony (Horse)	Irish Pony; Horse	Irish Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Irish Sport Horse!%!Horse	VBO:0000995	Irish Sport Horse (Horse)	Irish Sport Horse; Horse	Irish Sport Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Irish Warmblood!%!Horse	VBO:0000996	Irish Warmblood (Horse)	Irish Warmblood; Horse	Irish Warmblood	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Islandic Horse!%!Horse	VBO:0000997	Islandic Horse (Horse)	Islandic Horse; Horse	Islandic Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Jutland Horse!%!Horse	VBO:0000998	Jutland Horse (Horse)	Jutland Horse; Horse	Jutland Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kabarda!%!Horse	VBO:0000999	Kabarda (Horse)	Kabarda; Horse	Kabarda	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kanata Pony!%!Horse	VBO:0001000	Kanata Pony (Horse)	Kanata Pony; Horse	Kanata Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Karabair!%!Horse	VBO:0001001	Karabair (Horse)	Karabair; Horse	Karabair	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Karabakh!%!Horse	VBO:0001002	Karabakh (Horse)	Karabakh; Horse	Karabakh	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Karachai!%!Horse	VBO:0001003	Karachai (Horse)	Karachai; Horse	Karachai	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kazakh!%!Horse	VBO:0001004	Kazakh (Horse)	Kazakh; Horse	Kazakh	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kerry Bog Pony!%!Horse	VBO:0001005	Kerry Bog Pony (Horse)	Kerry Bog Pony; Horse	Kerry Bog Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kisber Halfbred!%!Horse	VBO:0001006	Kisber Halfbred (Horse)	Kisber Halfbred; Horse	Kisber Halfbred	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kladruby!%!Horse	VBO:0001007	Kladruby (Horse)	Kladruby; Horse	Kladruby	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Knabstrupper!%!Horse	VBO:0001008	Knabstrupper (Horse)	Knabstrupper; Horse	Knabstrupper	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Koto-Koli Pony!%!Horse	VBO:0001009	Koto-Koli Pony (Horse)	Koto-Koli Pony; Horse	Koto-Koli Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kurdi!%!Horse	VBO:0001010	Kurdi (Horse)	Kurdi; Horse	Kurdi	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Landais!%!Horse	VBO:0001011	Landais (Horse)	Landais; Horse	Landais	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Leutstettener!%!Horse	VBO:0001012	Leutstettener (Horse)	Leutstettener; Horse	Leutstettener	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Lipitsa!%!Horse	VBO:0001013	Lipitsa (Horse)	Lipitsa; Horse	Lipitsa	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Lipizzan horse!%!Horse	VBO:0001014	Lipizzan horse (Horse)	Lipizzan horse; Horse	Lipizzan horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Local horse!%!Horse	VBO:0001015	Local horse (Horse)	Local horse; Horse	Local horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Lower Caucasus!%!Horse	VBO:0001016	Lower Caucasus (Horse)	Lower Caucasus; Horse	Lower Caucasus	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Lusitanian!%!Horse	VBO:0001017	Lusitanian (Horse)	Lusitanian; Horse	Lusitanian	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mangalarga!%!Horse	VBO:0001018	Mangalarga (Horse)	Mangalarga; Horse	Mangalarga	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mecklenburg!%!Horse	VBO:0001019	Mecklenburg (Horse)	Mecklenburg; Horse	Mecklenburg	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Merens Pony!%!Horse	VBO:0001020	Merens Pony (Horse)	Merens Pony; Horse	Merens Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mongolian!%!Horse	VBO:0001021	Mongolian (Horse)	Mongolian; Horse	Mongolian	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Morgan!%!Horse	VBO:0001022	Morgan (Horse)	Morgan; Horse	Morgan	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mountain pony!%!Horse	VBO:0001023	Mountain pony (Horse)	Mountain pony; Horse	Mountain pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Murinsulaner horse!%!Horse	VBO:0001024	Murinsulaner horse (Horse)	Murinsulaner horse; Horse	Murinsulaner horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mustang!%!Horse	VBO:0001025	Mustang (Horse)	Mustang; Horse	Mustang	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
New Forest Pony!%!Horse	VBO:0001026	New Forest Pony (Horse)	New Forest Pony; Horse	New Forest Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Nonius!%!Horse	VBO:0001027	Nonius (Horse)	Nonius; Horse	Nonius	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Nooitgedacht Pony!%!Horse	VBO:0001028	Nooitgedacht Pony (Horse)	Nooitgedacht Pony; Horse	Nooitgedacht Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Nordsvensk travare!%!Horse	VBO:0001029	Nordsvensk travare (Horse)	Nordsvensk travare; Horse	Nordsvensk travare	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Noric!%!Horse	VBO:0001030	Noric (Horse)	Noric; Horse	Noric	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Norman Cob!%!Horse	VBO:0001031	Norman Cob (Horse)	Norman Cob; Horse	Norman Cob	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Northern Ardennes!%!Horse	VBO:0001032	Northern Ardennes (Horse)	Northern Ardennes; Horse	Northern Ardennes	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Old Kladruby Horse!%!Horse	VBO:0001033	Old Kladruby Horse (Horse)	Old Kladruby Horse; Horse	Old Kladruby Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Oldenburg!%!Horse	VBO:0001034	Oldenburg (Horse)	Oldenburg; Horse	Oldenburg	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Orlov Saddle Horse!%!Horse	VBO:0001035	Orlov Saddle Horse (Horse)	Orlov Saddle Horse; Horse	Orlov Saddle Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Orlov Trotter!%!Horse	VBO:0001036	Orlov Trotter (Horse)	Orlov Trotter; Horse	Orlov Trotter	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Palomino!%!Horse	VBO:0001037	Palomino (Horse)	Palomino; Horse	Palomino	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Pantanero!%!Horse	VBO:0001038	Pantanero (Horse)	Pantanero; Horse	Pantanero	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Part Bred Cob!%!Horse	VBO:0001039	Part Bred Cob (Horse)	Part Bred Cob; Horse	Part Bred Cob	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Paso Fino!%!Horse	VBO:0001040	Paso Fino (Horse)	Paso Fino; Horse	Paso Fino	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Percheron!%!Horse	VBO:0001041	Percheron (Horse)	Percheron; Horse	Percheron	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Peruvian Paso!%!Horse	VBO:0001042	Peruvian Paso (Horse)	Peruvian Paso; Horse	Peruvian Paso	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Piebald and Skewbald!%!Horse	VBO:0001043	Piebald and Skewbald (Horse)	Piebald and Skewbald; Horse	Piebald and Skewbald	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Pineia- Geogalidiko- Georgaludiko!%!Horse	VBO:0001044	Pineia- Geogalidiko- Georgaludiko (Horse)	Pineia- Geogalidiko- Georgaludiko; Horse	Pineia- Geogalidiko- Georgaludiko	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
PinkafÃ¶!%!Horse	VBO:0001045	Pinkafö (Horse)	Pinkafö; Horse	Pinkafö	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Polish Coldblood!%!Horse	VBO:0001046	Polish Coldblood (Horse)	Polish Coldblood; Horse	Polish Coldblood	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Polish Konik!%!Horse	VBO:0001047	Polish Konik (Horse)	Polish Konik; Horse	Polish Konik	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Polish Trakehner!%!Horse	VBO:0001048	Polish Trakehner (Horse)	Polish Trakehner; Horse	Polish Trakehner	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Polish Trotter!%!Horse	VBO:0001049	Polish Trotter (Horse)	Polish Trotter; Horse	Polish Trotter	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Polo Argentino!%!Horse	VBO:0001050	Polo Argentino (Horse)	Polo Argentino; Horse	Polo Argentino	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Ponei da Terceira!%!Horse	VBO:0001051	Ponei da Terceira (Horse)	Ponei da Terceira; Horse	Ponei da Terceira	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Pony!%!Horse	VBO:0001052	Pony (Horse)	Pony; Horse	Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Posavina!%!Horse	VBO:0001053	Posavina (Horse)	Posavina; Horse	Posavina	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Pottok!%!Horse	VBO:0001054	Pottok (Horse)	Pottok; Horse	Pottok	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Przewalski Horse!%!Horse	VBO:0001055	Przewalski Horse (Horse)	Przewalski Horse; Horse	Przewalski Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Purebred Spanish!%!Horse	VBO:0001056	Purebred Spanish (Horse)	Purebred Spanish; Horse	Purebred Spanish	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Quarter Horse!%!Horse	VBO:0001057	Quarter Horse (Horse)	Quarter Horse; Horse	Quarter Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Rheinish Westphalian Draught Horse!%!Horse	VBO:0001058	Rheinish Westphalian Draught Horse (Horse)	Rheinish Westphalian Draught Horse; Horse	Rheinish Westphalian Draught Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Rhenish Warmblood!%!Horse	VBO:0001059	Rhenish Warmblood (Horse)	Rhenish Warmblood; Horse	Rhenish Warmblood	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Rottal!%!Horse	VBO:0001060	Rottal (Horse)	Rottal; Horse	Rottal	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Russian Trotter!%!Horse	VBO:0001061	Russian Trotter (Horse)	Russian Trotter; Horse	Russian Trotter	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Sable Island Pony!%!Horse	VBO:0001062	Sable Island Pony (Horse)	Sable Island Pony; Horse	Sable Island Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Schleswig Coldblood!%!Horse	VBO:0001063	Schleswig Coldblood (Horse)	Schleswig Coldblood; Horse	Schleswig Coldblood	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Senne!%!Horse	VBO:0001064	Senne (Horse)	Senne; Horse	Senne	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Shagya Arab!%!Horse	VBO:0001065	Shagya Arab (Horse)	Shagya Arab; Horse	Shagya Arab	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Shetland Pony!%!Horse	VBO:0001066	Shetland Pony (Horse)	Shetland Pony; Horse	Shetland Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Shire!%!Horse	VBO:0001067	Shire (Horse)	Shire; Horse	Shire	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Silesian Horse!%!Horse	VBO:0001068	Silesian Horse (Horse)	Silesian Horse; Horse	Silesian Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Silesian Norik!%!Horse	VBO:0001069	Silesian Norik (Horse)	Silesian Norik; Horse	Silesian Norik	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Skyros Pony!%!Horse	VBO:0001070	Skyros Pony (Horse)	Skyros Pony; Horse	Skyros Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Slovak Warmblood!%!Horse	VBO:0001071	Slovak Warmblood (Horse)	Slovak Warmblood; Horse	Slovak Warmblood	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Slovak Warmblood Horse!%!Horse	VBO:0001072	Slovak Warmblood Horse (Horse)	Slovak Warmblood Horse; Horse	Slovak Warmblood Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Sokolski!%!Horse	VBO:0001073	Sokolski (Horse)	Sokolski; Horse	Sokolski	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Soviet Heavy Draft!%!Horse	VBO:0001074	Soviet Heavy Draft (Horse)	Soviet Heavy Draft; Horse	Soviet Heavy Draft	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Suffolk!%!Horse	VBO:0001075	Suffolk (Horse)	Suffolk; Horse	Suffolk	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Swedish Riding Pony!%!Horse	VBO:0001076	Swedish Riding Pony (Horse)	Swedish Riding Pony; Horse	Swedish Riding Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Swedish Warmblood!%!Horse	VBO:0001077	Swedish Warmblood (Horse)	Swedish Warmblood; Horse	Swedish Warmblood	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Sztumski!%!Horse	VBO:0001078	Sztumski (Horse)	Sztumski; Horse	Sztumski	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Tanghan!%!Horse	VBO:0001079	Tanghan (Horse)	Tanghan; Horse	Tanghan	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Tarpan!%!Horse	VBO:0001080	Tarpan (Horse)	Tarpan; Horse	Tarpan	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Tennessee Walking Horse!%!Horse	VBO:0001081	Tennessee Walking Horse (Horse)	Tennessee Walking Horse; Horse	Tennessee Walking Horse	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Tersk!%!Horse	VBO:0001082	Tersk (Horse)	Tersk; Horse	Tersk	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Thoroughbred!%!Horse	VBO:0001083	Thoroughbred (Horse)	Thoroughbred; Horse	Thoroughbred	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Tibetan Pony!%!Horse	VBO:0001084	Tibetan Pony (Horse)	Tibetan Pony; Horse	Tibetan Pony	Horse	NCBITaxon:9796	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
