VBO id	Breed name	Country	updated name	breed label (breed name +country + parent)	Transboundary name =parents	Species =parents	parent labels	parent ID	source for parents	Other name(s) =synonym	exists_in_country, ISO3 Country code	wikidata link for the country exists_in_country	domestication status	description of origin
VBO:0001810	Shanbei	China	Shanbei, China; Ass	Shanbei-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001811	Sichuan donkey	China	Sichuan donkey, China; Ass	Sichuan donkey-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001812	Subei	China	Subei, China; Ass	Subei-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001813	Taihang	China	Taihang, China; Ass	Taihang-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001814	Xinjiang	China	Xinjiang, China; Ass	Xinjiang-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	Kiang	CHN	wikidata:Q148	domestic	Equus kiang. Included Kashi donkey, Kuce donkey, Tulufan donkey.
VBO:0001815	Yangyuan	China	Yangyuan, China; Ass	Yangyuan-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001816	Yunnan	China	Yunnan, China; Ass	Yunnan-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	South-west donkey	CHN	wikidata:Q148	domestic	
VBO:0001817	Asnal Criollo	Cuba	Asnal Criollo, Cuba; Ass	Asnal Criollo-Cuba [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CUB	wikidata:Q241	domestic	locally adapted breed
VBO:0001818	Asno Americano	Cuba	Asno Americano, Cuba; Ass	Asno Americano-Cuba [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CUB	wikidata:Q241	domestic	Recently introduced.
VBO:0001819	Deutscher Esel	Germany	Deutscher Esel, Germany; Ass	Deutscher Esel-Germany [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		DEU	wikidata:Q183		
VBO:0001820	Europäischer Esel	Germany	Europäischer Esel, Germany; Ass	Europäischer Esel-Germany [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		DEU	wikidata:Q183		
VBO:0001821	Thüringer Waldesel	Germany	Thüringer Waldesel, Germany; Ass	Thüringer Waldesel-Germany [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		DEU	wikidata:Q183		
VBO:0001822	Algerian	Algeria	Algerian, Algeria; Ass	Algerian-Algeria [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		DZA	wikidata:Q262	domestic	
VBO:0001823	Baladi Egyptian	Egypt	Baladi Egyptian, Egypt; Ass	Baladi Egyptian-Egypt [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		EGY	wikidata:Q79	domestic	variety of Egyptian
VBO:0001824	Hassawi	Egypt	Hassawi, Egypt; Ass	Hassawi-Egypt [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		EGY	wikidata:Q79	domestic	variety of Egyptian
VBO:0001825	Saidi	Egypt	Saidi, Egypt; Ass	Saidi-Egypt [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		EGY	wikidata:Q79	domestic	variety of Egyptian
VBO:0001826	Andaluza	Spain	Andaluza, Spain; Ass	Andaluza-Spain [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	Andalusian Donkey|Asno Andaluz	ESP	wikidata:Q29	domestic	equus asnus taemoppus influenced genetically by asian onapro
VBO:0001827	Asno de las Encartaciones	Spain	Asno de las Encartaciones, Spain; Ass	Asno de las Encartaciones-Spain [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		ESP	wikidata:Q29	domestic	indigenous breed
VBO:0001828	Catalana	Spain	Catalana, Spain; Ass	Catalana-Spain [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	Raza Asinia Catalana	ESP	wikidata:Q29	domestic	The breed belongs to the species Equus asinus somaliensis or Equus asinus europeus. This breed has contributed to the formation and improvement of several European breeds. It has had a great and decisive influence in the formation of the American Mammoth ass.
VBO:0001829	Zamorano-Leonés-Spain	Spain	Zamorano-Leonés-Spain, Spain; Ass	Zamorano-Leonés-Spain-Spain [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	Carbajalina|Leonesa|Zamorana|Garañón Leonés	ESP	wikidata:Q29	domestic	Equus asinus europeus.
