vbo id	Sabrina's note: VBO names	OMIA breed_id	xref	OMIA breed_name	source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Breed	DADIS Country	Other names, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0014616	Commune des Alpes-France	662	OMIA:662	Communes des Alpes	https://omia.org	9940	sheep	Commune des Alpes	France		
VBO:0009480	criolla colombiana-Colombia	532	OMIA:532	Colombian	https://omia.org	9913	cattle	criolla colombiana	Colombia		
VBO:0015696	Crioula-Brazil	369	OMIA:369	Crioula	https://omia.org	9940	sheep	Crioula	Brazil		
VBO:0015696	Crioula-Brazil	368	OMIA:368	Crioula Lanada	https://omia.org	9940	sheep	Crioula	Brazil		
VBO:0009816	Dagestanskaya-Russian Federation	638	OMIA:638	Dagestan White	https://omia.org	9925	goat	Dagestanskaya	Russian Federation		
VBO:0004877	Dagri-India	362	OMIA:362	Malvi	https://omia.org	9913	cattle	Dagri	India		
VBO:0012749	Dahe-China	789	OMIA:789	Dahe	https://omia.org	9823	pig	Dahe	China		
VBO:0004878	Dangi-India	365	OMIA:365	Dangi	https://omia.org	9913	cattle	Dangi	India		
VBO:0016122	Delle Langhe-Italy	183	OMIA:183	Langhe	https://omia.org	9940	sheep	Delle Langhe	Italy		
VBO:0009774	Dera Din Panah-Pakistan	1134	OMIA:1134	Dera Din Panah	https://omia.org	9925	goat	Dera Din Panah	Pakistan		
VBO:0013037	Deshi-India	587	OMIA:587	Desi	https://omia.org	9823	pig	Deshi	India		
VBO:0003152	Deutsche Holstein Schwarzbunt-Germany	1033	OMIA:1033	German Holstein	https://omia.org	9913	cattle	Deutsche Holstein Schwarzbunt	Germany		
VBO:0012400	Deutsches Edelschwein - Large White-Germany	562	OMIA:562	Deutsches Edelschwein	https://omia.org	9823	pig	Deutsches Edelschwein - Large White	Germany		
VBO:0004634	Deutsches Schwarzbuntes Niederungsrind-Germany	88	OMIA:88	Black Pied	https://omia.org	9913	cattle	Deutsches Schwarzbuntes Niederungsrind	Germany		
VBO:0004634	Deutsches Schwarzbuntes Niederungsrind-Germany	317	OMIA:317	Black Pied German	https://omia.org	9913	cattle	Deutsches Schwarzbuntes Niederungsrind	Germany		
VBO:0003880	Doppelnutzung Rotbunt-Germany	289	OMIA:289	Red and White Westphalian	https://omia.org	9913	cattle	Doppelnutzung Rotbunt	Germany		
VBO:0014559	Drents Heideschaap-Netherlands	372	OMIA:372	Drenthe	https://omia.org	9940	sheep	Drents Heideschaap	Netherlands		
VBO:0015690	Dubska-Bosnia and Herzegovina	719	OMIA:719	Pramenka	https://omia.org	9940	sheep	Dubska	Bosnia and Herzegovina		
VBO:0012372	Edelschwein-Austria	467	OMIA:467	Edelschwein	https://omia.org	9823	pig	Edelschwein	Austria		
VBO:0015619	Elliotdale-Australia	482	OMIA:482	Elliottdale	https://omia.org	9940	sheep	Elliotdale	Australia		
VBO:0004403	Ennstaler Bergscheck-Austria	142	OMIA:142	Spotted Mountain	https://omia.org	9913	cattle	Ennstaler Bergscheck	Austria		
VBO:0013099	Estonian bacon-Republic of Moldova	390	OMIA:390	Estonian Bacon	https://omia.org	9823	pig	Estonian bacon	Republic of Moldova		
